REFERENCE,NIVEAUETUDE
 commerçants et chefs d'entreprise,CEP
UG393,Secondaire Incomplet
DE744,Bac
DJ39,Bac + 3
JI306,CEP
FU200,non renseigné
FA192,Bac
ML533,Certificat d'études
FD237,CEP
JW325,CEP
LD386,Bac + 5 et plus
GJ131,non renseigné
JG258,CEP
NS571,Secondaire Incomplet
 commerçants et chefs d'entreprise,Lycée Incomplet
UQ417,CEP
NV558,Secondaire Incomplet
WL512,CEP
QB100,Bac + 2
UF391,non renseigné
1135,Secondaire Incomplet
XZ501,Secondaire Incomplet
VS466,Lycée Incomplet
1299,Bac + 4
948,CEP
1134,
 commerçants et chefs d'entreprise,Lycée Incomplet
1254,Lycée Incomplet
1268,Bac + 2
4001,Bac
 commerçants et chefs d'entreprise,Secondaire Complet ( brevet des collèges )
BF69,CEP
 commerçants et chefs d'entreprise,CEP
BX11,CEP
 commerçants et chefs d'entreprise,CEP
BU77,Lycée Incomplet
CH28,CEP
CI58,non renseigné
CF4,CEP - CAP
CP7,CEP - CAP
 commerçants et chefs d'entreprise,Secondaire Incomplet
 commerçants et chefs d'entreprise,CEP - CAP
 commerçants et chefs d'entreprise,CEP
 commerçants et chefs d'entreprise,CEP
 commerçants et chefs d'entreprise,CEP
 commerçants et chefs d'entreprise,Bac
DH59,Bac + 5 et plus
DP50,Secondaire Incomplet
DX101,non renseigné
 commerçants et chefs d'entreprise,CEP - CAP
DT78,Secondaire Incomplet
 commerçants et chefs d'entreprise,CEP
HU339,Bac + 3
EM229,CEP
 commerçants et chefs d'entreprise,CEP
 commerçants et chefs d'entreprise,CEP
 commerçants et chefs d'entreprise,Secondaire Complet ( brevet des collèges )
 commerçants et chefs d'entreprise,Bac
 commerçants et chefs d'entreprise,Bac
 commerçants et chefs d'entreprise,CEP
 commerçants et chefs d'entreprise,non renseigné
FZ61,CEP
GE133,Secondaire Incomplet
 commerçants et chefs d'entreprise,Secondaire Complet ( brevet des collèges )
GL142,Secondaire Incomplet
GX120,CEP
HA151,Secondaire Complet ( brevet des collèges )
HN169,Bac + 2
 commerçants et chefs d'entreprise,CEP
IC346,CEP
LS439,Bac + 5 et plus
IG298,Secondaire Complet ( brevet des collèges )
IR293,Lycée Incomplet
IU288,Bac + 2
IZ248,CEP
JO304,Secondaire Complet ( brevet des collèges )
JR327,CEP
JX318,Secondaire Incomplet
 commerçants et chefs d'entreprise,CEP
KO376,Secondaire Incomplet
KH411,Lycée Incomplet
LF468,Bac
MH539,non renseigné
KP392,Bac + 3
MG475,Bac + 2
KT385,CEP
LN438,Primaire
LA366,Bac
MW523,Secondaire Incomplet
MS530,CEP - CAP
MK532,Secondaire Incomplet
MT484,Secondaire Incomplet
PX88,Secondaire Incomplet
NI526,Secondaire Incomplet
MY510,CEP
QC102,CEP - CAP
UH398,CEP
OI587,non renseigné
UU424,Secondaire Complet ( brevet des collèges )
MX492,CEP
QF105,Bac + 2
QG109,Secondaire Incomplet
NA487,non renseigné
VZ486,Secondaire Incomplet
NM476,Primaire
RC196,Bac + 2
RF211,Bac + 4
SD272,Secondaire Incomplet
VA436,CEP
OB557,CEP
OH593,Secondaire Incomplet
 commerçants et chefs d'entreprise,Secondaire Incomplet
SM313,Secondaire Incomplet
PY94,CEP
QW145,Bac
UB381,Secondaire Complet ( brevet des collèges )
VG449,CEP - CAP
RV252,Secondaire Incomplet
SL312,Bac + 2
UN412,Secondaire Complet ( brevet des collèges )
PW85,Secondaire Incomplet
VM456,CEP - CAP
VN457,Secondaire Incomplet
ST326,Bac
WF503,Bac + 4
PF42,CEP
YO241,non renseigné
YD478,Secondaire Incomplet
YT387,Secondaire Incomplet
TN153,Secondaire Incomplet
TS165,Secondaire Complet ( brevet des collèges )
YR399,CEP - CAP
UO414,Secondaire Incomplet
ZD585,Secondaire Incomplet
VL455,Secondaire Incomplet
4002,non renseigné
8EX,non renseigné
12EX,Bac + 5 et plus
VU469,Secondaire Incomplet
WS529,Secondaire Incomplet
9EX,non renseigné
 commerçants et chefs d'entreprise,non renseigné
2EX,non renseigné
YP371,Secondaire Incomplet
1300,Bac + 3
4EX,Lycée Incomplet
5EX,CEP
6EX,Bac + 3
1264,Bac + 3
3EX,non renseigné
4003,Secondaire Incomplet
1277,Bac + 5 et plus
VX479,CEP - CAP
4004,CEP
ZB600,CEP - CAP
701MER,Secondaire Complet ( brevet des collèges )
707MER,Secondaire Incomplet
702PER,non renseigné
708PER,
703MER,
705MER,
704MER,CEP
709MER,Secondaire Incomplet
710PER,non renseigné
711MER,Certificat d'études
712MER,
713MER,Certificat d'études
716MER,Bac
717MER,
718MER,
720MER,
721PER,CEP
722MER,
DM95,Bac + 5 et plus
241LOC,non renseigné
242LOC,non renseigné
243LOC,non renseigné
309STAN,non renseigné
316STAN,non renseigné
317EMP1,non renseigné
331LOC,non renseigné
318STAN,non renseigné
319STAN,non renseigné
407PERSFEM,non renseigné
360LOC,non renseigné
407PERS,non renseigné
335LOC,non renseigné
361LOC,non renseigné
337STAN,non renseigné
362LOC,non renseigné
338SEC,non renseigné
341SEC,non renseigné
354AGT,non renseigné
342LOC,non renseigné
425PERS,non renseigné
366AGT,non renseigné
343SEC,non renseigné
367STAN,non renseigné
427PERS,non renseigné
370STAN,non renseigné
371STAN,non renseigné
373STAN,non renseigné
349FMG,non renseigné
350LOC,non renseigné
352LOC,non renseigné
353LOC,non renseigné
354LOC,non renseigné
355LOC,non renseigné
401PERS,non renseigné
402PERS,non renseigné
406PERS,non renseigné
298LOC,non renseigné
408PERS,non renseigné
419PERS,non renseigné
409PERS,non renseigné
414PERS,non renseigné
426PERS,non renseigné
416PERS,non renseigné
415PERS,non renseigné
417PERS,non renseigné
420PERS,non renseigné
421PERS,non renseigné
422PERS,non renseigné
423PERS,non renseigné
424PERS,non renseigné
429PERS,non renseigné
437PERS,non renseigné
441PERS,non renseigné
430PERS,non renseigné
435PERS,non renseigné
431PERS,non renseigné
436PERS,non renseigné
439PERS,non renseigné
445PERS,non renseigné
461PERS,non renseigné
440PERS,non renseigné
447PERS,non renseigné
448PERS,non renseigné
448PERS2,non renseigné
449PERS,non renseigné
450PERS,non renseigné
452PERS,non renseigné
451PERS,non renseigné
454PERS,non renseigné
460PERS,non renseigné
453PERS,non renseigné
463PERS,non renseigné
462PERS,non renseigné
519LOC1,non renseigné
516LOC1,non renseigné
543LOC1,non renseigné
555LOC2,non renseigné
555LOC1,non renseigné
723MER,
725MER,Certificat d'études
724PER,
726MER,non renseigné
727MER,non renseigné
730MER,
728PER,
731MER,CEP
732MER,non renseigné
733MER,non renseigné
734MER,non renseigné
735MER,non renseigné
737MER,non renseigné
740PER,
741MER,non renseigné
742SOE,non renseigné
743MER,non renseigné
542LOC1,non renseigné
001LOC1,non renseigné
001LOC2,non renseigné
OU,non renseigné
002INC,non renseigné
JR,non renseigné
RC,non renseigné
PB,non renseigné
006LOC,non renseigné
JK,non renseigné
GJ131FEM,non renseigné
JR258,non renseigné
010LOC,non renseigné
MB,non renseigné
JW325FEM,non renseigné
013INC,non renseigné
BV,non renseigné
014INC,non renseigné
ML533MER,non renseigné
CS,non renseigné
QB100MER,non renseigné
QB100SOE,non renseigné
020INC,non renseigné
